iter	Passed	Remaining
0	163	16156
1	190	9313
2	214	6950
3	239	5748
4	265	5040
5	288	4520
6	310	4128
7	334	3842
8	357	3611
9	380	3427
10	405	3283
11	429	3148
12	451	3022
13	476	2924
14	500	2833
15	523	2746
16	546	2669
17	569	2594
18	594	2533
19	619	2479
20	642	2416
21	666	2363
22	692	2318
23	719	2277
24	743	2230
25	769	2189
26	791	2141
27	815	2096
28	837	2050
29	861	2009
30	885	1971
31	908	1931
32	932	1892
33	954	1852
34	978	1816
35	1001	1780
36	1024	1743
37	1047	1709
38	1070	1673
39	1092	1639
40	1116	1606
41	1139	1573
42	1165	1544
43	1188	1512
44	1211	1480
45	1233	1448
46	1255	1416
47	1278	1384
48	1302	1356
49	1329	1329
50	1351	1298
51	1373	1267
52	1396	1238
53	1418	1208
54	1445	1182
55	1469	1154
56	1494	1127
57	1516	1098
58	1537	1068
59	1558	1038
60	1579	1010
61	1601	981
62	1624	953
63	1647	926
64	1669	898
65	1693	872
66	1718	846
67	1740	819
68	1762	791
69	1784	764
70	1806	737
71	1828	711
72	1850	684
73	1873	658
74	1894	631
75	1917	605
76	1939	579
77	1962	553
78	1984	527
79	2007	501
80	2029	475
81	2051	450
82	2072	424
83	2095	399
84	2118	373
85	2140	348
86	2163	323
87	2186	298
88	2207	272
89	2230	247
90	2250	222
91	2272	197
92	2295	172
93	2316	147
94	2340	123
95	2366	98
96	2390	73
97	2414	49
98	2437	24
99	2458	0
