Iteration,Time,Train_Accuracy,Train_Precision,Train_Recall,Train_Specificity,Train_AUC,Train_F1-Score,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_AUC,Test_F1-Score
1,1.707362174987793,0.997,0.0,0.0,1.0,0.9102125908976931,0.0,0.997,0.0,0.0,1.0,0.949805667001003,0.0
2,4.717682361602783,0.997,0.0,0.0,1.0,0.9123291750250753,0.0,0.997,0.0,0.0,1.0,0.966495319291207,0.0
3,9.759177446365356,0.997,0.0,0.0,1.0,0.9123314997074556,0.0,0.997,0.0,0.0,1.0,0.9665095285857573,0.0
4,15.728999137878418,0.997,0.0,0.0,1.0,0.9164497920845872,0.0,0.997,0.0,0.0,1.0,0.9665061852223337,0.0
5,22.968980312347412,0.997,0.0,0.0,1.0,0.9164515943664328,0.0,0.997,0.0,0.0,1.0,0.9665020060180541,0.0
6,31.625203847885132,0.997,0.0,0.0,1.0,0.9467889606318957,0.0,0.997,0.0,0.0,1.0,0.9653426947509194,0.0
7,41.67955470085144,0.997,0.0,0.0,1.0,0.9467891173520561,0.0,0.997,0.0,0.0,1.0,0.9653092611166834,0.0
8,53.91806077957153,0.997,0.0,0.0,1.0,0.9467923301153459,0.0,0.997,0.0,0.0,1.0,0.9653192912069543,0.0
9,66.99974775314331,0.997,0.0,0.0,1.0,0.9468989259445001,0.0,0.997,0.0,0.0,1.0,0.9653084252758274,0.0
10,81.37461256980896,0.997,0.0,0.0,1.0,0.9469773905048479,0.0,0.997,0.0,0.0,1.0,0.965320962888666,0.0
11,97.10688543319702,0.997,0.0,0.0,1.0,0.9491296807087931,0.0,0.997,0.0,0.0,1.0,0.9653092611166834,0.0
12,116.6758873462677,0.997,0.0,0.0,1.0,0.9492032869441659,0.0,0.997,0.0,0.0,1.0,0.9653042460715481,0.0
13,139.03987312316895,0.997,0.0,0.0,1.0,0.9493836457288534,0.0,0.997,0.0,0.0,1.0,0.9653025743898362,0.0
