epoch,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_specificity,test_specificity,train_auc,test_auc,train_f1,test_f1,training_time
1,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,259.0263245
2,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,530.7196605
3,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,801.4046421
4,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,1072.76186
5,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,1343.951019
6,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,1615.140178
7,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,1886.329336
8,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,2157.518495
9,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,2428.707654
10,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,2699.896813
11,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,2971.085972
12,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,3242.27513
13,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,3513.464289
14,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,3784.653448
15,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,4055.842607
16,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,4327.031766
17,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,4598.220924
18,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,4869.410083
19,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,5140.599242
20,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,5411.788401
21,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,5682.97756
22,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,5954.166718
23,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,6225.355877
24,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,6496.545036
25,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,6767.734195
26,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,7038.923354
27,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,7310.112512
28,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,7581.301671
29,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,7852.49083
30,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,8123.679989
31,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,8394.869147
32,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,8666.058306
33,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,8937.247465
34,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,9208.436624
35,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,9479.625783
36,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,9750.814941
37,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,10022.0041
38,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,10293.19326
39,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,10564.38242
40,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,10835.57158
41,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,11106.76074
42,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,11377.94989
43,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,11649.13905
44,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,11920.32821
45,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,12191.51737
46,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,12462.70653
47,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,12733.89569
48,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,13005.08485
49,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,13276.27401
50,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,13547.46316
51,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,13818.65232
52,1,0.9992,1,0.962962963,1,0.787878788,1,0.999899669,1,0.893664624,1,0.866666667,14089.84148
