Epoch,Time,Train_Accuracy,Train_Precision,Train_Recall,Train_Specificity,Train_AUC,Train_F1-Score,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_AUC,Test_F1-Score
1,293.2076883,0.997,0,0,1,0.998335815,0,0.997,0,0,1,0.985321381,0
2,787.4206979,0.997475,1,0.158333333,1,0.998793176,0.273381295,0.99745,1,0.15,1,0.985599716,0.260869565
3,1079.762299,0.9993625,0.984615385,0.8,0.999962387,0.998971237,0.882758621,0.999,0.954545455,0.7,0.999899699,0.978433634,0.807692308
4,1378.729021,0.99975,0.995495495,0.920833333,0.999987462,0.99999791,0.956709957,0.99895,0.953488372,0.683333333,0.999899699,0.98701772,0.796116505
5,1598.015245,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
6,1987.704021,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
7,2307.796364,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
8,2627.888708,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
9,2947.981051,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
10,3268.073395,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
11,3588.165739,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
12,3908.258082,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
13,4228.350426,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
14,4548.442769,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
15,4868.535113,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
16,5188.627456,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
17,5508.7198,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
18,5828.812144,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
19,6148.904487,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
20,6468.996831,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
21,6789.089174,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
22,7109.181518,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
23,7429.273861,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
24,7749.366205,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
25,8069.458549,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
26,8389.550892,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
27,8709.643236,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
28,9029.735579,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
29,9349.827923,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
30,9669.920266,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
31,9990.01261,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
32,10310.10495,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
33,10630.1973,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
34,10950.28964,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
35,11270.38198,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
36,11590.47433,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
37,11910.56667,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
38,12230.65901,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
39,12550.75136,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
40,12870.8437,0.99995,1,0.983333333,1,1,0.991596639,0.9985,0.8,0.666666667,0.999498495,0.992293965,0.727272727
