iteration,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
1,0.229809761,0.997,0,0,1,0.97133361,0,0.997,0,0,1,0.990531177,0
2,0.394718647,0.997,0,0,1,0.978184005,0,0.997,0,0,1,0.981824223,0
3,0.558625221,0.997,0,0,1,0.983090783,0,0.997,0,0,1,0.994874624,0
4,0.730665445,0.997,0,0,1,0.98294216,0,0.997,0,0,1,0.994259863,0
5,0.896571398,0.997,0,0,1,0.983038412,0,0.997,0,0,1,0.981584336,0
6,1.062850952,0.997,0,0,1,0.983241104,0,0.997,0,0,1,0.994753427,0
7,1.227911711,0.997,0,0,1,0.983181863,0,0.997,0,0,1,0.994880475,0
8,1.391158581,0.997,0,0,1,0.98737499,0,0.997,0,0,1,0.995371949,0
9,1.560999155,0.997,0,0,1,0.989457304,0,0.997,0,0,1,0.996541291,0
10,1.728903294,0.997,0,0,1,0.988842804,0,0.997,0,0,1,0.996194417,0
11,1.909749031,0.997,0,0,1,0.98920744,0,0.997,0,0,1,0.995907723,0
12,2.07850194,0.997,0,0,1,0.990196632,0,0.997,0,0,1,0.99657347,0
13,2.250413656,0.997,0,0,1,0.990259842,0,0.997,0,0,1,0.996591441,0
14,2.41732049,0.997,0,0,1,0.990345516,0,0.997,0,0,1,0.996593949,0
15,2.590221882,0.997,0,0,1,0.990359516,0,0.997,0,0,1,0.996442243,0
16,2.767121315,0.997,0,0,1,0.990373334,0,0.997,0,0,1,0.996534604,0
17,2.933026552,0.997,0,0,1,0.990301086,0,0.997,0,0,1,0.996437228,0
18,3.10792613,0.997,0,0,1,0.990179549,0,0.997,0,0,1,0.996775744,0
19,3.295800447,0.997,0,0,1,0.990169258,0,0.997,0,0,1,0.996794968,0
20,3.509678125,0.997,0,0,1,0.990171765,0,0.997,0,0,1,0.9966721,0
21,3.728553057,0.997,0,0,1,0.990200497,0,0.997,0,0,1,0.996649532,0
22,3.941430807,0.997,0,0,1,0.990202744,0,0.997,0,0,1,0.996638666,0
23,4.161305666,0.997,0,0,1,0.990023273,0,0.997,0,0,1,0.996568455,0
24,4.3737638,0.997,0,0,1,0.99001084,0,0.997,0,0,1,0.996089519,0
25,4.588641167,0.997,0,0,1,0.989990858,0,0.997,0,0,1,0.99593238,0
26,4.806517839,0.997,0,0,1,0.989919655,0,0.997,0,0,1,0.99568539,0
27,5.018395185,0.997,0,0,1,0.989882721,0,0.997,0,0,1,0.995384487,0
28,5.236283779,0.997,0,0,1,0.98988502,0,0.997,0,0,1,0.995379472,0
29,5.449768543,0.997,0,0,1,0.989885908,0,0.997,0,0,1,0.995491474,0
30,5.663645267,0.997,0,0,1,0.989902755,0,0.997,0,0,1,0.995532431,0
31,5.898510933,0.997,0,0,1,0.989894815,0,0.997,0,0,1,0.996041876,0
32,6.11438942,0.997,0,0,1,0.989892516,0,0.997,0,0,1,0.996000084,0
33,6.430808306,0.997,0,0,1,0.989888285,0,0.997,0,0,1,0.996004263,0
34,6.65967679,0.997,0,0,1,0.989875068,0,0.997,0,0,1,0.995954948,0
35,6.908534527,0.997,0,0,1,0.996585642,0,0.997,0,0,1,0.995948679,0
36,7.131407738,0.997,0,0,1,0.996300568,0,0.997,0,0,1,0.995854229,0
37,7.358278513,0.997,0,0,1,0.996290904,0,0.997,0,0,1,0.995830826,0
38,7.585370302,0.997,0,0,1,0.996286829,0,0.997,0,0,1,0.995819124,0
39,7.805244207,0.997,0,0,1,0.996283277,0,0.997,0,0,1,0.995815781,0
40,8.031785727,0.997,0,0,1,0.996297643,0,0.997,0,0,1,0.995816617,0
41,8.260656118,0.997,0,0,1,0.996293673,0,0.997,0,0,1,0.995732197,0
42,8.495521069,0.997,0,0,1,0.996292314,0,0.997,0,0,1,0.995769809,0
43,8.744380474,0.997,0,0,1,0.996289859,0,0.997,0,0,1,0.995756436,0
44,8.981261969,0.997,0,0,1,0.99628359,0,0.997,0,0,1,0.995733032,0
45,9.22068882,0.997,0,0,1,0.99628218,0,0.997,0,0,1,0.995619358,0
46,9.475543261,0.997,0,0,1,0.996349361,0,0.997,0,0,1,0.995611836,0
47,9.71140933,0.997,0,0,1,0.996306733,0,0.997,0,0,1,0.995567536,0
48,9.94327569,0.997,0,0,1,0.996307255,0,0.997,0,0,1,0.995509863,0
49,10.18719959,0.997,0,0,1,0.99623822,0,0.997,0,0,1,0.995325978,0
50,10.42824745,0.997,0,0,1,0.99622213,0,0.997,0,0,1,0.99535774,0
51,10.66678309,0.997,0,0,1,0.996221581,0,0.997,0,0,1,0.995326814,0
52,10.90526509,0.997,0,0,1,0.99621735,0,0.997,0,0,1,0.995247409,0
53,11.15114355,0.997,0,0,1,0.996210924,0,0.99705,1,0.016666667,1,0.995154631,0.032786885
54,11.3837111,0.997,0,0,1,0.996215861,0,0.99705,1,0.016666667,1,0.995137914,0.032786885
55,11.61857605,0.997,0,0,1,0.996203846,0,0.99705,1,0.016666667,1,0.995022568,0.032786885
56,11.8714323,0.997,0,0,1,0.996148837,0,0.99705,1,0.016666667,1,0.994949014,0.032786885
57,12.11550641,0.9970375,1,0.0125,1,0.997100729,0.024691358,0.99705,1,0.016666667,1,0.996856403,0.032786885
58,12.37136078,0.99705,1,0.016666667,1,0.997113424,0.032786885,0.99705,1,0.016666667,1,0.996831327,0.032786885
59,12.61676097,0.997075,1,0.025,1,0.997098274,0.048780488,0.99715,1,0.05,1,0.996829656,0.095238095
60,12.87561297,0.9971,1,0.033333333,1,0.997216859,0.064516129,0.99715,1,0.05,1,0.996809595,0.095238095
61,13.11647606,0.997125,1,0.041666667,1,0.997360728,0.08,0.99715,1,0.05,1,0.996792879,0.095238095
62,13.36945009,0.997175,1,0.058333333,1,0.999207336,0.11023622,0.9972,1,0.066666667,1,0.9967444,0.125
63,13.62009716,0.9972125,1,0.070833333,1,0.999338458,0.13229572,0.9973,1,0.1,1,0.996679204,0.181818182
64,13.89194036,0.997325,1,0.108333333,1,0.999329212,0.195488722,0.9974,1,0.133333333,1,0.99664995,0.235294118
