epoch,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,test_accuracy,test_precision,test_recall,test_specificity,test_auc,test_f1
1,2.4447860717773438,0.998875,0.8348214285714286,0.7791666666666667,0.999536108324975,0.9039903564861249,0.8060344827586207,0.99925,0.8688524590163934,0.8833333333333333,0.9995987963891675,0.9500292544299566,0.8760330578512396
2,7.111956834793091,0.99905,0.8904761904761904,0.7791666666666667,0.9997116349047142,0.9281263321213642,0.8311111111111111,0.9995,0.9464285714285714,0.8833333333333333,0.9998495486459378,0.952896606486125,0.9137931034482759
3,11.219715356826782,0.9989625,0.8866995073891626,0.75,0.9997116349047142,0.9480824243564026,0.8126410835214447,0.9994,0.9444444444444444,0.85,0.9998495486459378,0.9614434971581409,0.8947368421052632
4,15.25675106048584,0.998975,0.9817073170731707,0.6708333333333333,0.9999623871614844,0.951271784102307,0.7970297029702971,0.999,0.9545454545454546,0.7,0.9998996990972919,0.9425284185891007,0.8076923076923077
5,19.20194697380066,0.999225,0.968421052631579,0.7666666666666667,0.9999247743229689,0.9818553838599131,0.8558139534883721,0.99935,0.9433962264150944,0.8333333333333334,0.9998495486459378,0.9871355733868271,0.8849557522123894
6,23.19467282295227,0.99925,0.9639175257731959,0.7791666666666667,0.9999122367101304,0.9890262976429288,0.8617511520737328,0.9994,0.9615384615384616,0.8333333333333334,0.9998996990972919,0.9907898696088264,0.8928571428571429
7,27.259910106658936,0.999225,0.9238095238095239,0.8083333333333333,0.9997993981945837,0.9930976000919424,0.8622222222222222,0.99935,0.9433962264150944,0.8333333333333334,0.9998495486459378,0.9913874958207958,0.8849557522123894
8,31.28906512260437,0.9993375,0.9605911330049262,0.8125,0.9998996990972919,0.9955402143931795,0.8803611738148984,0.99935,0.9272727272727272,0.85,0.9997993981945837,0.9898119358074222,0.8869565217391304
9,35.29304599761963,0.9993625,0.9655172413793104,0.8166666666666667,0.9999122367101304,0.9970681837178201,0.8848758465011287,0.9994,0.9444444444444444,0.85,0.9998495486459378,0.9883584085590102,0.8947368421052632
10,39.15048408508301,0.9992875,0.9740932642487047,0.7833333333333333,0.9999373119358074,0.9976883776328986,0.8683602771362586,0.9992,0.94,0.7833333333333333,0.9998495486459378,0.9865922768304914,0.8545454545454545
11,43.04840588569641,0.9993,0.9380952380952381,0.8208333333333333,0.9998370110330993,0.9984629409060515,0.8755555555555555,0.9994,0.9285714285714286,0.8666666666666667,0.9997993981945837,0.9864936476094952,0.896551724137931
12,46.956297159194946,0.999225,0.9045454545454545,0.8291666666666667,0.9997367101303912,0.9987011294299566,0.8652173913043478,0.9995,0.9310344827586207,0.9,0.9997993981945837,0.9865308425275827,0.9152542372881356
13,51.09306812286377,0.9992125,0.9041095890410958,0.825,0.9997367101303912,0.9990488131059847,0.8627450980392157,0.9995,0.9310344827586207,0.9,0.9997993981945837,0.9894654797726512,0.9152542372881356
14,55.65670824050903,0.9994,0.9615384615384616,0.8333333333333334,0.9998996990972919,0.9992989384821129,0.8928571428571429,0.9994,0.9285714285714286,0.8666666666666667,0.9997993981945837,0.9858868271481109,0.896551724137931
15,60.16926336288452,0.9993625,0.9354838709677419,0.8458333333333333,0.9998244734202608,0.9994871593948512,0.888402625820569,0.9994,0.9285714285714286,0.8666666666666667,0.9997993981945837,0.9850693747910397,0.896551724137931
16,64.54374647140503,0.9994625,0.9804878048780488,0.8375,0.999949849548646,0.9995996322300233,0.903370786516854,0.99945,0.9454545454545454,0.8666666666666667,0.9998495486459378,0.9840045135406218,0.9043478260869565
17,68.6452739238739,0.99945,0.9622641509433962,0.85,0.9998996990972919,0.9996597082915413,0.9026548672566371,0.99945,0.9454545454545454,0.8666666666666667,0.9998495486459378,0.9809495152123036,0.9043478260869565
18,73.32230806350708,0.99945,0.9666666666666667,0.8458333333333333,0.9999122367101304,0.999768524322969,0.9022222222222223,0.9994,0.9444444444444444,0.85,0.9998495486459378,0.9776613172851889,0.8947368421052632
19,77.83401823043823,0.9995,0.9716981132075472,0.8583333333333333,0.9999247743229689,0.9997988235539954,0.911504424778761,0.9994,0.9444444444444444,0.85,0.9998495486459378,0.9775075225677031,0.8947368421052632
20,82.24384903907776,0.999525,0.963302752293578,0.875,0.9998996990972919,0.999844167920428,0.9170305676855895,0.99935,0.9272727272727272,0.85,0.9997993981945837,0.9749807756603142,0.8869565217391304
21,86.79449772834778,0.9993875,0.9244444444444444,0.8666666666666667,0.9997868605817453,0.9997835694583751,0.8946236559139785,0.99945,0.9454545454545454,0.8666666666666667,0.9998495486459378,0.9718179538615846,0.9043478260869565
22,91.13129830360413,0.999525,0.9508928571428571,0.8875,0.9998620862587764,0.9998671535439653,0.9181034482758621,0.9994,0.9444444444444444,0.85,0.9998495486459378,0.9710155466399197,0.8947368421052632
23,95.49474763870239,0.9995625,0.9596412556053812,0.8916666666666667,0.9998871614844533,0.9998980274155801,0.9244060475161987,0.99935,0.9272727272727272,0.85,0.9997993981945837,0.9702499164159144,0.8869565217391304
24,99.92238116264343,0.9995625,0.9812206572769953,0.8708333333333333,0.999949849548646,0.9999255579237714,0.9227373068432672,0.9994,0.9444444444444444,0.85,0.9998495486459378,0.9686877298562353,0.8947368421052632
25,104.3682599067688,0.99955,0.9594594594594594,0.8875,0.9998871614844533,0.9999220056001337,0.922077922077922,0.9994,0.9285714285714286,0.8666666666666667,0.9997993981945837,0.9698094282848545,0.896551724137931
26,108.6975953578949,0.9995125,0.9855072463768116,0.85,0.9999623871614844,0.9930302365429622,0.912751677852349,0.99925,0.9411764705882353,0.8,0.9998495486459378,0.9642694750919425,0.8648648648648649
27,113.14574360847473,0.99955,0.9636363636363636,0.8833333333333333,0.9998996990972919,0.9998214957372117,0.9217391304347826,0.99935,0.9433962264150944,0.8333333333333334,0.9998495486459378,0.9704730859244399,0.8849557522123894
28,117.50442433357239,0.9995875,0.9683257918552036,0.8916666666666667,0.9999122367101304,0.9956287612838516,0.928416485900217,0.9993,0.9423076923076923,0.8166666666666667,0.9998495486459378,0.9691574724172518,0.875
29,121.93219828605652,0.9996,0.9601769911504425,0.9041666666666667,0.9998871614844533,0.9999470808258107,0.9313304721030042,0.9994,0.9444444444444444,0.85,0.9998495486459378,0.9673938482113007,0.8947368421052632
30,126.62096881866455,0.9995375,0.9765258215962441,0.8666666666666667,0.9999373119358074,0.9876681607321967,0.9183222958057395,0.99935,0.9433962264150944,0.8333333333333334,0.9998495486459378,0.9665755600133734,0.8849557522123894
31,131.65176153182983,0.999475,0.9714285714285714,0.85,0.9999247743229689,0.987482865262454,0.9066666666666666,0.9992,0.94,0.7833333333333333,0.9998495486459378,0.9700952858575728,0.8545454545454545
32,136.06055331230164,0.9993875,0.8930041152263375,0.9041666666666667,0.9996740220661986,0.9961167878635908,0.8985507246376812,0.9993,0.896551724137931,0.8666666666666667,0.9996990972918757,0.9724414911400869,0.8813559322033898
33,140.42028379440308,0.999475,0.9159663865546218,0.9083333333333333,0.9997492477432297,0.995671232447342,0.9121338912133892,0.99935,0.9122807017543859,0.8666666666666667,0.9997492477432297,0.9477816783684386,0.8888888888888888
