epoch,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_specificity,test_specificity,train_auc,test_auc,train_f1,test_f1
1,7.52558589,0.997,0.997,0,0,0,0,1,1,0.235133108,0.216510782,0,0
2,17.78101301,0.997,0.997,0,0,0,0,1,1,0.267972224,0.250676195,0,0
3,27.68080568,0.997,0.997,0,0,0,0,1,1,0.205870998,0.151771147,0,0
4,39.09826756,0.997,0.997,0,0,0,0,1,1,0.508022244,0.499648947,0,0
5,52.65772891,0.997,0.997,0,0,0,0,1,1,0.470736715,0.435466399,0,0
6,67.77084851,0.997,0.997,0,0,0,0,1,1,0.942246087,0.967947593,0,0
7,81.99137235,0.9991625,0.99935,0.926108374,0.943396226,0.783333333,0.833333333,0.999811936,0.999849549,0.957507418,0.988939736,0.848758465,0.884955752
8,94.4901104,0.99925,0.9994,0.920560748,0.944444444,0.820833333,0.85,0.999786861,0.999849549,0.968401951,0.997084169,0.86784141,0.894736842
9,106.4513299,0.9992875,0.9994,0.933649289,0.944444444,0.820833333,0.85,0.999824473,0.999849549,0.96994204,0.997647108,0.873614191,0.894736842
10,117.6455536,0.9992375,0.9991,0.936585366,0.903846154,0.8,0.783333333,0.999837011,0.999749248,0.970660001,0.99675234,0.862921348,0.839285714
11,137.4016404,0.99935,0.99915,0.919642857,0.86440678,0.858333333,0.85,0.999774323,0.999598796,0.969322629,0.994806085,0.887931034,0.857142857
12,146.7863588,0.9993125,0.99935,0.9342723,0.898305085,0.829166667,0.883333333,0.999824473,0.999699097,0.968687025,0.995602223,0.878587196,0.890756303
13,156.5966249,0.9993875,0.9993,0.932126697,0.910714286,0.858333333,0.85,0.999811936,0.999749248,0.971778931,0.993813106,0.893709328,0.879310345
14,166.471514,0.9993875,0.9994,0.940092166,0.944444444,0.85,0.85,0.999837011,0.999849549,0.973132105,0.995063106,0.892778993,0.894736842
15,181.0519769,0.99945,0.9993,0.941441441,0.910714286,0.870833333,0.85,0.999837011,0.999749248,0.968880208,0.994793965,0.904761905,0.879310345
16,199.6120884,0.999475,0.99915,0.938053097,0.86440678,0.883333333,0.85,0.999824473,0.999598796,0.968571992,0.993744149,0.909871245,0.857142857
17,216.3717961,0.9994125,0.9993,0.92139738,0.910714286,0.879166667,0.85,0.999774323,0.999749248,0.969138013,0.988919258,0.89978678,0.879310345
18,229.8972986,0.999425,0.99925,0.92173913,0.881355932,0.883333333,0.866666667,0.999774323,0.999648947,0.971162602,0.993744567,0.90212766,0.87394958
19,243.8189042,0.999325,0.9991,0.881147541,0.828125,0.895833333,0.883333333,0.999636409,0.999448345,0.966960177,0.991336092,0.888429752,0.85483871
20,257.7392106,0.999475,0.99925,0.941964286,0.909090909,0.879166667,0.833333333,0.999837011,0.999749248,0.951127915,0.982461969,0.909482759,0.869565217
21,270.3127575,0.9992875,0.99915,0.937799043,0.890909091,0.816666667,0.816666667,0.999837011,0.999699097,0.94354945,0.967090438,0.873051225,0.852173913
22,285.6497331,0.9994875,0.99925,0.942222222,0.894736842,0.883333333,0.85,0.999837011,0.999699097,0.957413543,0.98177449,0.911827957,0.871794872
23,301.2402101,0.999475,0.9991,0.941964286,0.862068966,0.879166667,0.833333333,0.999837011,0.999598796,0.956652118,0.982185724,0.909482759,0.847457627
24,314.5834713,0.9994875,0.9993,0.942222222,0.896551724,0.883333333,0.866666667,0.999837011,0.999699097,0.969313957,0.992678034,0.911827957,0.881355932
