epoch,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_specificity,test_specificity,train_auc,test_auc,train_f1,test_f1
1,3.751832962,0.999025,0.99895,0.897959184,0.894736842,0.752136752,0.772727273,0.992506331,0.999699007,0.918244707,0.949989511,0.818604651,0.829268293
2,35.53986073,0.9990375,0.999,0.910994764,0.925925926,0.743589744,0.757575758,0.992697496,0.999799338,0.958117183,0.905932,0.818823529,0.833333333
3,67.24430108,0.9991,0.9989,0.875,0.907407407,0.807692308,0.742424242,0.991741671,0.999749172,0.949090057,0.940428794,0.84,0.816666667
4,100.8733239,0.9991375,0.999,0.910447761,0.942307692,0.782051282,0.742424242,0.992315166,0.999849503,0.972697276,0.953546324,0.84137931,0.830508475
5,133.0887415,0.9991875,0.9991,0.90821256,0.928571429,0.803418803,0.787878788,0.992085768,0.999799338,0.977365445,0.964014581,0.85260771,0.852459016
6,164.8080935,0.9991375,0.999,0.92746114,0.942307692,0.764957265,0.742424242,0.99262103,0.999849503,0.964697006,0.945668053,0.838407494,0.830508475
7,201.1617723,0.9992,0.9991,0.920792079,0.944444444,0.794871795,0.772727273,0.992276933,0.999849503,0.977049965,0.959940911,0.853211009,0.85
8,238.9449418,0.99925,0.99915,0.914285714,0.945454545,0.820512821,0.787878788,0.991971069,0.999849503,0.976183783,0.965064258,0.864864865,0.859504132
9,268.7249506,0.9992875,0.9991,0.907834101,0.928571429,0.841880342,0.787878788,0.991703438,0.999799338,0.988348103,0.961386591,0.873614191,0.852459016
10,313.6993346,0.999225,0.9991,0.921568627,0.944444444,0.803418803,0.772727273,0.992200467,0.999849503,0.987441364,0.967924454,0.858447489,0.85
11,348.9473715,0.999325,0.99915,0.920560748,0.945454545,0.841880342,0.787878788,0.991818137,0.999849503,0.987985611,0.961454618,0.879464286,0.859504132
12,380.6480432,0.9993,0.99915,0.919811321,0.945454545,0.833333333,0.787878788,0.991894603,0.999849503,0.984719246,0.960119151,0.874439462,0.859504132
13,412.1636331,0.9993375,0.9992,0.933014354,0.962962963,0.833333333,0.787878788,0.992009302,0.999899669,0.989971414,0.973118868,0.880361174,0.866666667
14,443.588609,0.99925,0.9991,0.930693069,0.944444444,0.803418803,0.772727273,0.992276933,0.999849503,0.987523549,0.948280082,0.862385321,0.85
15,477.4710484,0.9993125,0.99915,0.912442396,0.945454545,0.846153846,0.787878788,0.991703438,0.999849503,0.990462005,0.968467154,0.87804878,0.859504132
16,517.1342328,0.9993375,0.99915,0.928909953,0.945454545,0.837606838,0.787878788,0.991932836,0.999849503,0.989495824,0.953314118,0.880898876,0.859504132
17,554.4523227,0.9993375,0.99915,0.924882629,0.945454545,0.841880342,0.787878788,0.99185637,0.999849503,0.993795045,0.971221698,0.881431767,0.859504132
18,590.6337743,0.99925,0.99915,0.922330097,0.945454545,0.811965812,0.787878788,0.992124001,0.999849503,0.990828971,0.958600503,0.863636364,0.859504132
19,622.600076,0.999375,0.9992,0.955445545,0.962962963,0.824786325,0.787878788,0.992276933,0.999899669,0.993811278,0.97910757,0.885321101,0.866666667
20,654.5900898,0.9993875,0.9991,0.930232558,0.928571429,0.854700855,0.787878788,0.991779904,0.999799338,0.994034152,0.978581592,0.890868597,0.852459016
21,686.4466798,0.9994125,0.99915,0.956097561,0.945454545,0.837606838,0.787878788,0.992162234,0.999849503,0.992561013,0.97575636,0.892938497,0.859504132
22,718.6266618,0.9993125,0.9991,0.924170616,0.928571429,0.833333333,0.787878788,0.991932836,0.999799338,0.988618847,0.980616337,0.876404494,0.852459016
23,750.4238393,0.9994,0.99915,0.938679245,0.945454545,0.85042735,0.787878788,0.991894603,0.999849503,0.993077455,0.95767092,0.892376682,0.859504132
24,781.964572,0.9994125,0.99915,0.943127962,0.945454545,0.85042735,0.787878788,0.991932836,0.999849503,0.994255902,0.952936357,0.894382022,0.859504132
25,813.5078337,0.9993875,0.99915,0.960199005,0.980392157,0.824786325,0.757575758,0.992315166,0.999949834,0.990734169,0.98362551,0.887356322,0.854700855
26,844.9791453,0.99935,0.9991,0.925233645,0.928571429,0.846153846,0.787878788,0.991818137,0.999799338,0.990782601,0.972901484,0.883928571,0.852459016
27,876.5011265,0.9994125,0.99915,0.956097561,0.945454545,0.837606838,0.787878788,0.992162234,0.999849503,0.989658212,0.932715081,0.892938497,0.859504132
28,906.5140774,0.999425,0.99915,0.965346535,0.945454545,0.833333333,0.787878788,0.992276933,0.999849503,0.99480639,0.976345425,0.894495413,0.859504132
29,937.8060412,0.99945,0.99905,0.961165049,0.927272727,0.846153846,0.772727273,0.992124001,0.999799338,0.993126798,0.983521378,0.9,0.842975207
30,968.4764752,0.9994375,0.99895,0.95215311,0.909090909,0.85042735,0.757575758,0.992009302,0.999749172,0.991112358,0.967229737,0.898419865,0.826446281
31,998.4807236,0.99945,0.99915,0.97029703,0.980392157,0.837606838,0.757575758,0.992276933,0.999949834,0.99693832,0.974126739,0.899082569,0.854700855
32,1028.388427,0.9994125,0.99905,0.934883721,0.912280702,0.858974359,0.787878788,0.991779904,0.999749172,0.995069874,0.979748321,0.89532294,0.845528455
33,1058.347097,0.9994375,0.99915,0.95215311,0.945454545,0.85042735,0.787878788,0.992009302,0.999849503,0.995822396,0.949702199,0.898419865,0.859504132
34,1088.515859,0.9994625,0.9992,0.975124378,0.980769231,0.837606838,0.772727273,0.992315166,0.999949834,0.995897884,0.976964893,0.901149425,0.86440678
35,1121.359436,0.9993625,0.9991,0.937799043,0.944444444,0.837606838,0.772727273,0.992009302,0.999849503,0.996174521,0.960127512,0.884875847,0.85
36,1160.434953,0.9994,0.99915,0.938679245,0.945454545,0.85042735,0.787878788,0.991894603,0.999849503,0.996332006,0.966828413,0.892376682,0.859504132
37,1191.372186,0.9993875,0.9991,0.979274611,0.961538462,0.807692308,0.757575758,0.99262103,0.999899669,0.984732077,0.946861005,0.885245902,0.847457627
38,1223.260196,0.9993625,0.99915,0.921658986,0.929824561,0.854700855,0.803030303,0.991703438,0.999799338,0.99338396,0.95929978,0.88691796,0.861788618
39,1254.739789,0.9994875,0.9991,0.970731707,0.944444444,0.85042735,0.772727273,0.992162234,0.999849503,0.996457641,0.975909137,0.906605923,0.85
40,1286.230477,0.9995125,0.999,0.975609756,0.910714286,0.854700855,0.772727273,0.992162234,0.999749172,0.997338529,0.937968022,0.911161731,0.836065574
41,1317.815033,0.999475,0.99895,0.961538462,0.894736842,0.854700855,0.772727273,0.992047535,0.999699007,0.991494834,0.920195737,0.904977376,0.829268293
42,1349.646755,0.9995,0.999,0.966346154,0.910714286,0.858974359,0.772727273,0.992047535,0.999749172,0.997227414,0.976984655,0.909502262,0.836065574
43,1381.562007,0.99955,0.9991,0.975961538,0.944444444,0.867521368,0.772727273,0.992047535,0.999849503,0.997160123,0.940164665,0.918552036,0.85
44,1413.140308,0.9995375,0.9991,0.985221675,0.944444444,0.854700855,0.772727273,0.9922387,0.999849503,0.995627729,0.945510336,0.915331808,0.85
45,1444.625516,0.99945,0.99915,0.97979798,0.980392157,0.829059829,0.757575758,0.992429865,0.999949834,0.997374478,0.946923332,0.898148148,0.854700855
46,1476.250532,0.9995375,0.9991,0.985221675,0.961538462,0.854700855,0.757575758,0.9922387,0.999899669,0.997680341,0.954440563,0.915331808,0.847457627
47,1507.792751,0.9994875,0.99895,0.980099502,0.909090909,0.841880342,0.757575758,0.992315166,0.999749172,0.995552268,0.974842739,0.905747126,0.826446281
48,1539.463468,0.9995125,0.999,0.980295567,0.925925926,0.85042735,0.757575758,0.9922387,0.999799338,0.997685484,0.962422965,0.910755149,0.833333333
49,1571.07404,0.9995375,0.9992,0.985221675,0.962962963,0.854700855,0.787878788,0.9922387,0.999899669,0.996149796,0.938457516,0.915331808,0.866666667
50,1602.327734,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
51,1647.130849,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
52,1679.700576,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
53,1712.270303,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
54,1744.840031,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
55,1777.409758,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
56,1809.979485,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
57,1842.549212,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
58,1875.11894,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
59,1907.688667,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
60,1940.258394,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
61,1972.828122,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
62,2005.397849,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
63,2037.967576,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
64,2070.537304,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
65,2103.107031,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
66,2135.676758,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
67,2168.246486,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
68,2200.816213,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
69,2233.38594,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
70,2265.955668,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
71,2298.525395,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
72,2331.095122,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
73,2363.66485,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
74,2396.234577,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
75,2428.804304,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
76,2461.374032,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
77,2493.943759,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
78,2526.513486,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
79,2559.083214,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
80,2591.652941,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
81,2624.222668,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
82,2656.792396,0.9994875,0.99905,0.953051643,0.912280702,0.867521368,0.787878788,0.99185637,0.999749172,0.9978011,0.965293043,0.908277405,0.845528455
