Epoch,Time,Train_Accuracy,Train_Precision,Train_Recall,Train_Specificity,Train_AUC,Train_F1-Score,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_AUC,Test_F1-Score
1,728.0566998,0.9999875,0.995744681,1,0.999987463,0.999999786,0.997867804,0.9992,0.980769231,0.772727273,0.999949834,0.961418134,0.86440678
2,1463.94524,0.99955,0.99009901,0.854700855,0.999974927,0.999995017,0.917431193,0.9992,0.980769231,0.772727273,0.999949834,0.976167565,0.86440678
3,2201.106125,0.9999875,1,0.995726496,1,1,0.997858672,0.9992,0.980769231,0.772727273,0.999949834,0.957519663,0.86440678
4,2942.784809,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975409761,0.86440678
5,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
6,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
7,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
8,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
9,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
10,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
11,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
12,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
13,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
14,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
15,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
16,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
17,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
18,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
19,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
20,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
21,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
22,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
23,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
24,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
25,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
26,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
27,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
28,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
29,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
30,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
31,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
32,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
33,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
34,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
35,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
36,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
37,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
38,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
39,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
40,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
41,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
42,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
43,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
44,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
45,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
46,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
47,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
48,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
49,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
50,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
51,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
52,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
53,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
54,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
55,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
56,3678.337834,1,1,1,1,1,1,0.9992,0.980769231,0.772727273,0.999949834,0.975928139,0.86440678
