epoch,time,train_accuracy,train_precision,train_recall,train_specificity,train_auc,train_f1,val_accuracy,val_precision,val_recall,val_specificity,val_auc,val_f1
1,18.9730885,0.999109375,0.882352941,0.802139037,0.999686584,0.985923526,0.840336134,0.9993125,0.95,0.808510638,0.999874632,0.97148272,0.873563218
2,42.93709421,0.999109375,0.882352941,0.802139037,0.999686584,0.993484723,0.840336134,0.9993125,0.95,0.808510638,0.999874632,0.976180029,0.873563218
3,66.07240105,0.99921875,0.882681564,0.844919786,0.999670913,0.990257965,0.863387978,0.9993125,0.909090909,0.85106383,0.999749263,0.978381976,0.879120879
4,87.83909631,0.99915625,0.867403315,0.839572193,0.999623901,0.992762023,0.85326087,0.9994375,0.975,0.829787234,0.999937316,0.978036546,0.896551724
5,109.6377649,0.999171875,0.885057471,0.823529412,0.999686584,0.992115708,0.853185596,0.99925,0.948717949,0.787234043,0.999874632,0.978244604,0.860465116
6,129.8708837,0.99925,0.897142857,0.839572193,0.999717926,0.99305893,0.867403315,0.99925,0.948717949,0.787234043,0.999874632,0.979378253,0.860465116
7,148.7661676,0.9994375,0.895287958,0.914438503,0.999686584,0.994107951,0.904761905,0.9991875,0.886363636,0.829787234,0.999686579,0.980779977,0.857142857
8,167.2796395,0.99946875,0.909090909,0.909090909,0.999733597,0.992418188,0.909090909,0.99925,0.906976744,0.829787234,0.999749263,0.970911894,0.866666667
9,189.2984211,0.99940625,0.898395722,0.898395722,0.999702255,0.996351304,0.898395722,0.9993125,0.95,0.808510638,0.999874632,0.975961301,0.873563218
10,207.2823174,0.9995,0.897435897,0.935828877,0.999686584,0.996937576,0.916230366,0.999125,0.88372093,0.808510638,0.999686579,0.984570367,0.844444444
11,229.1792066,0.999546875,0.911458333,0.935828877,0.999733597,0.997552256,0.92348285,0.999125,0.88372093,0.808510638,0.999686579,0.972509673,0.844444444
12,250.9621105,0.999625,0.905472637,0.973262032,0.999702255,0.998731504,0.93814433,0.999,0.844444444,0.808510638,0.999561211,0.96180669,0.826086957
13,273.8504031,0.999734375,0.942708333,0.967914439,0.999827621,0.99864234,0.955145119,0.999125,0.88372093,0.808510638,0.999686579,0.968477883,0.844444444
14,293.1452227,0.999703125,0.928571429,0.973262032,0.999780609,0.999029082,0.950391645,0.999,0.844444444,0.808510638,0.999561211,0.961214525,0.826086957
15,316.1355186,0.99975,0.943005181,0.973262032,0.999827621,0.999297412,0.957894737,0.999125,0.88372093,0.808510638,0.999686579,0.952972228,0.844444444
16,342.2626243,0.99975,0.943005181,0.973262032,0.999827621,0.999624488,0.957894737,0.999125,0.88372093,0.808510638,0.999686579,0.937690636,0.844444444
17,365.3962436,0.999828125,0.97826087,0.962566845,0.999937317,0.999684154,0.970350404,0.99925,0.926829268,0.808510638,0.999811948,0.947334657,0.863636364
18,387.2251709,0.999859375,0.983695652,0.967914439,0.999952988,0.999772061,0.97574124,0.9991875,0.904761905,0.808510638,0.999749263,0.946170333,0.853932584
19,408.0075824,0.999828125,0.988888889,0.951871658,0.999968658,0.999897679,0.970027248,0.999125,0.902439024,0.787234043,0.999749263,0.948943105,0.840909091
20,448.5727975,0.999796875,0.988764045,0.941176471,0.999968658,0.99992592,0.964383562,0.9991875,0.925,0.787234043,0.999811948,0.951398456,0.850574713
21,470.2686133,0.999828125,0.97311828,0.967914439,0.999921646,0.999935138,0.970509383,0.99925,0.926829268,0.808510638,0.999811948,0.953117602,0.863636364
22,492.6920428,0.999875,0.989071038,0.967914439,0.999968658,0.999962206,0.978378378,0.99925,0.926829268,0.808510638,0.999811948,0.948232241,0.863636364
23,514.6911826,0.999859375,0.983695652,0.967914439,0.999952988,0.999972848,0.97574124,0.99925,0.926829268,0.808510638,0.999811948,0.9517959,0.863636364
24,535.9657621,0.99984375,0.978378378,0.967914439,0.999937317,0.999981061,0.97311828,0.99925,0.926829268,0.808510638,0.999811948,0.954975453,0.863636364
25,557.1373749,0.999875,0.989071038,0.967914439,0.999968658,0.999984245,0.978378378,0.99925,0.926829268,0.808510638,0.999811948,0.95948471,0.863636364
26,577.5394762,0.999875,0.978609626,0.978609626,0.999937317,0.999988184,0.978609626,0.99925,0.926829268,0.808510638,0.999811948,0.963961957,0.863636364
27,599.6500247,0.999890625,0.989130435,0.973262032,0.999968658,0.999990698,0.981132075,0.99925,0.926829268,0.808510638,0.999811948,0.964739507,0.863636364
28,621.8070257,0.999890625,0.989130435,0.973262032,0.999968658,0.999990949,0.981132075,0.99925,0.926829268,0.808510638,0.999811948,0.964491438,0.863636364
29,642.9281824,0.999875,0.983783784,0.973262032,0.999952988,0.999992039,0.978494624,0.99925,0.926829268,0.808510638,0.999811948,0.968296499,0.863636364
30,663.3564219,0.999875,0.983783784,0.973262032,0.999952988,0.999993128,0.978494624,0.99925,0.926829268,0.808510638,0.999811948,0.967773686,0.863636364
31,684.469768,0.999875,0.983783784,0.973262032,0.999952988,0.999994218,0.978494624,0.99925,0.926829268,0.808510638,0.999811948,0.970673161,0.863636364
32,705.4118593,0.999890625,0.989130435,0.973262032,0.999968658,0.999994721,0.981132075,0.99925,0.926829268,0.808510638,0.999811948,0.971349349,0.863636364
33,726.9141612,0.999875,0.983783784,0.973262032,0.999952988,0.999995223,0.978494624,0.99925,0.926829268,0.808510638,0.999811948,0.972388306,0.863636364
34,747.6738431,0.999875,0.983783784,0.973262032,0.999952988,0.999994721,0.978494624,0.99925,0.926829268,0.808510638,0.999811948,0.971962854,0.863636364
35,768.4948266,0.999890625,0.989130435,0.973262032,0.999968658,0.999995726,0.981132075,0.99925,0.926829268,0.808510638,0.999811948,0.973490613,0.863636364
36,788.9545054,0.999890625,0.989130435,0.973262032,0.999968658,0.999995642,0.981132075,0.99925,0.926829268,0.808510638,0.999811948,0.97330056,0.863636364
37,810.240406,0.99990625,0.994535519,0.973262032,0.999984329,0.999996061,0.983783784,0.99925,0.926829268,0.808510638,0.999811948,0.973931402,0.863636364
38,831.6389253,0.99990625,0.994535519,0.973262032,0.999984329,0.99999648,0.983783784,0.99925,0.926829268,0.808510638,0.999811948,0.974548908,0.863636364
39,852.8943846,0.999921875,0.994565217,0.978609626,0.999984329,0.999996648,0.986522911,0.99925,0.926829268,0.808510638,0.999811948,0.974934348,0.863636364
40,872.7036693,0.999921875,0.994565217,0.978609626,0.999984329,0.999996899,0.986522911,0.9991875,0.925,0.787234043,0.999811948,0.97466494,0.850574713
41,889.1521339,0.999921875,0.994565217,0.978609626,0.999984329,0.999996983,0.986522911,0.9991875,0.925,0.787234043,0.999811948,0.974905007,0.850574713
42,905.9726567,0.999921875,0.994565217,0.978609626,0.999984329,0.999996899,0.986522911,0.99925,0.926829268,0.808510638,0.999811948,0.975157077,0.863636364
43,923.44012,0.9999375,0.994594595,0.983957219,0.999984329,0.999997067,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.975047713,0.850574713
44,940.168664,0.9999375,0.994594595,0.983957219,0.999984329,0.999997151,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.97520509,0.850574713
45,957.0449085,0.999921875,0.989247312,0.983957219,0.999968658,0.999997402,0.986595174,0.99925,0.926829268,0.808510638,0.999811948,0.975415816,0.863636364
46,973.8277688,0.9999375,0.994594595,0.983957219,0.999984329,0.999997318,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974876999,0.850574713
47,990.5183759,0.9999375,0.994594595,0.983957219,0.999984329,0.999997402,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974866329,0.850574713
48,1007.757546,0.9999375,0.994594595,0.983957219,0.999984329,0.999997654,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974118121,0.850574713
49,1025.309656,0.9999375,0.994594595,0.983957219,0.999984329,0.999997737,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974419538,0.850574713
50,1046.970561,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
51,1098.696313,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
52,1120.128883,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
53,1141.561453,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
54,1162.994023,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
55,1184.426594,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
56,1205.859164,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
57,1227.291734,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
58,1248.724304,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
59,1270.156874,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
60,1291.589445,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
61,1313.022015,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
62,1334.454585,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
63,1355.887155,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
64,1377.319726,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
65,1398.752296,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
66,1420.184866,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
67,1441.617436,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
68,1463.050006,0.9999375,0.994594595,0.983957219,0.999984329,0.999997821,0.989247312,0.9991875,0.925,0.787234043,0.999811948,0.974215481,0.850574713
